"Hostname","Cluster","version","Build","manufacture","Model","cpu_model","core_num","totalmemoryMB","P_nic"
"htvtr02.trserver1.det.nsw.edu.au","TestRig_H","4.1.0","348481","IBM","IBM 3850 M2 / x3950 M2 -[71413RM]-","Intel(R) Xeon(R) CPU           E7330  @ 2.40GHz","16","73726","10"
"htvtr01.trserver1.det.nsw.edu.au","TestRig_H","4.1.0","348481","IBM","IBM 3850 M2 / x3950 M2 -[71413RM]-","Intel(R) Xeon(R) CPU           E7330  @ 2.40GHz","16","73726","10"
"hpvoa01.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa02.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa03.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa04.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa05.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa06.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa07.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa08.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa09.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa10.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa11.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa12.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa13.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa14.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvoa15.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.09375","4"
"hpvoa16.unix.mgmt.det","Production_Oasis_H","5.0.0","623860","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49140.15625","4"
"hppv01.unix.mgmt.det","Pre_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hppv02.unix.mgmt.det","Pre_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hppv03.unix.mgmt.det","Pre_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hppv04.unix.mgmt.det","Pre_Prod_H","5.0.0","623860","IBM","IBM System x -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hppv05.unix.mgmt.det","Pre_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hppv06.unix.mgmt.det","Pre_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hpsv01.unix.mgmt.det","Prod_Sec_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hpsv02.unix.mgmt.det","Prod_Sec_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hpsv03.unix.mgmt.det","Prod_Sec_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hpsv04.unix.mgmt.det","Prod_Sec_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hisv01.unix.mgmt.det","Infra_Serv_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hisv02.unix.mgmt.det","Infra_Serv_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hisv03.unix.mgmt.det","Infra_Serv_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hisv04.unix.mgmt.det","Infra_Serv_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"192.168.18.52","Infra_Serv_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hnpv01.unix.mgmt.det","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hnpv02.unix.mgmt.det","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hnpv03.unix.mgmt.det","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hnpv04.unix.mgmt.det","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hnpv05.unix.mgmt.det","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hnpv06.unix.mgmt.det","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hnpv07.unix.mgmt.det","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"192.168.17.212","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"192.168.17.213","Non_Prod_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871FT1]-","Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz","12","196596.65234375","4"
"hpvctx01.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx02.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx03.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx04.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx05.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx06.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx07.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx08.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx09.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx10.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx11.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx12.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx13.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvctx14.unix.mgmt.det","Prod_Citrix_SAP_H","5.0.0","623860","IBM","IBM System x -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvls06.unix.mgmt.det","Production_Linux_Secured_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvls07.unix.mgmt.det","Production_Linux_Secured_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvls08.unix.mgmt.det","Production_Linux_Secured_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvls10.unix.mgmt.det","Production_Linux_Secured_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvls09.unix.mgmt.det","Production_Linux_Secured_H","5.0.0","623860","IBM","BladeCenter HS22 -[7870G4M]-","Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz","8","98292.6484375","4"
"hpvlsp05.unix.mgmt.det","Production_Linux_Secured_Plus_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvlsp06.unix.mgmt.det","Production_Linux_Secured_Plus_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvlsp07.unix.mgmt.det","Production_Linux_Secured_Plus_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvlsp08.unix.mgmt.det","Production_Linux_Secured_Plus_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvws18.unix.mgmt.det","Production_Windows_Secured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvws20.unix.mgmt.det","Production_Windows_Secured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvws22.unix.mgmt.det","Production_Windows_Secured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvws19.unix.mgmt.det","Production_Windows_Secured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvws17.unix.mgmt.det","Production_Windows_Secured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvws24.unix.mgmt.det","Production_Windows_Secured_H","5.0.0","623860","IBM","IBM System x -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","5"
"hpvws23.unix.mgmt.det","Production_Windows_Secured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvws21.unix.mgmt.det","Production_Windows_Secured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvwu11.unix.mgmt.det","Production_Windows_Unsecured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvwu12.unix.mgmt.det","Production_Windows_Unsecured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvwu14.unix.mgmt.det","Production_Windows_Unsecured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
"hpvwu16.unix.mgmt.det","Production_Windows_Unsecured_H","5.0.0","623860","IBM","BladeCenter HS22V -[7871F2M]-","Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz","12","147444.6484375","4"
